COL_NAME,SEC,LABEL,TYPE,CODELIST
Main_P6a_Thich_Total_OE|1-7,PRODUCT|FORCE_CHOICE|NORMAL_OE,Main_P6a_Thich_Total_OE|1-7,MA,"{'99999': 'Không có', '900001|net|MÀU SỢI MÌ (NET)': {'101': 'Màu vàng tự nhiên vừa ý/ bắt mắt', '102': 'Màu vàng nhạt tự nhiên vừa ý', '103': 'Màu vàng tươi, sáng óng', '104': 'Màu vàng đậm nhìn đẹp', '105': 'Màu vàng vừa phải/ bắt mắt'}, '900002|net|ĐỘ DAI (NET)': {'201': 'Dai vừa phải', '202': 'Dai và giòn vừa phải'}, '900003|net|ĐỘ MỀM (NET)': {'301': 'Mềm vừa phải', '302': 'Mềm vừa phải không bị bở'}, '900004|net|ĐỘ MƯỚT (NET)': {'401': 'Trơn mướt vừa phải, dễ ăn', '402': 'Bóng vừa phải', '403': 'Mượt vừa phải, dễ ăn'}, '900005|net|KHÁC (NET)': {'901': 'Kích thước sợi mì vừa phải', '902': 'Cảm giác làm từ khoai tây/ hương vị khoai tây', '903': 'Không bở, không nở quá, không đứt', '905': 'Có độ béo', '906': 'Thời gian chín sợi mì vừa phải', '907': 'Sợi mì ngấm gia vị nước dùng, đậm đà', '908': 'Sợi mì thơm mùi riêu cua hấp dẫn', '909': 'Sợi mì có vị ngọt tự nhiên', '910': 'Sợi mì có độ dẻo vừa phải'}}"
Main_P6a_Thich_Y1_OE|1-7,PRODUCT|FORCE_CHOICE|NORMAL_OE,Main_P6a_Thich_Y1_OE|1-7,MA,"{'99999': 'Không có', '900001|net|MÀU SỢI MÌ (NET)': {'101': 'Màu vàng tự nhiên vừa ý/ bắt mắt', '102': 'Màu vàng nhạt tự nhiên vừa ý', '103': 'Màu vàng tươi, sáng óng', '104': 'Màu vàng đậm nhìn đẹp', '105': 'Màu vàng vừa phải/ bắt mắt'}, '900002|net|ĐỘ DAI (NET)': {'201': 'Dai vừa phải', '202': 'Dai và giòn vừa phải'}, '900003|net|ĐỘ MỀM (NET)': {'301': 'Mềm vừa phải', '302': 'Mềm vừa phải không bị bở'}, '900004|net|ĐỘ MƯỚT (NET)': {'401': 'Trơn mướt vừa phải, dễ ăn', '402': 'Bóng vừa phải', '403': 'Mượt vừa phải, dễ ăn'}, '900005|net|KHÁC (NET)': {'901': 'Kích thước sợi mì vừa phải', '902': 'Cảm giác làm từ khoai tây/ hương vị khoai tây', '903': 'Không bở, không nở quá, không đứt', '905': 'Có độ béo', '906': 'Thời gian chín sợi mì vừa phải', '907': 'Sợi mì ngấm gia vị nước dùng, đậm đà', '908': 'Sợi mì thơm mùi riêu cua hấp dẫn', '909': 'Sợi mì có vị ngọt tự nhiên', '910': 'Sợi mì có độ dẻo vừa phải'}}"
Main_P6a_Thich_Y2_OE|1-7,PRODUCT|FORCE_CHOICE|NORMAL_OE,Main_P6a_Thich_Y2_OE|1-7,MA,"{'99999': 'Không có', '900001|net|MÀU SỢI MÌ (NET)': {'101': 'Màu vàng tự nhiên vừa ý/ bắt mắt', '102': 'Màu vàng nhạt tự nhiên vừa ý', '103': 'Màu vàng tươi, sáng óng', '104': 'Màu vàng đậm nhìn đẹp', '105': 'Màu vàng vừa phải/ bắt mắt'}, '900002|net|ĐỘ DAI (NET)': {'201': 'Dai vừa phải', '202': 'Dai và giòn vừa phải'}, '900003|net|ĐỘ MỀM (NET)': {'301': 'Mềm vừa phải', '302': 'Mềm vừa phải không bị bở'}, '900004|net|ĐỘ MƯỚT (NET)': {'401': 'Trơn mướt vừa phải, dễ ăn', '402': 'Bóng vừa phải', '403': 'Mượt vừa phải, dễ ăn'}, '900005|net|KHÁC (NET)': {'901': 'Kích thước sợi mì vừa phải', '902': 'Cảm giác làm từ khoai tây/ hương vị khoai tây', '903': 'Không bở, không nở quá, không đứt', '905': 'Có độ béo', '906': 'Thời gian chín sợi mì vừa phải', '907': 'Sợi mì ngấm gia vị nước dùng, đậm đà', '908': 'Sợi mì thơm mùi riêu cua hấp dẫn', '909': 'Sợi mì có vị ngọt tự nhiên', '910': 'Sợi mì có độ dẻo vừa phải'}}"
Main_P6b_Khong_Thich_Total_OE|1-3,PRODUCT|FORCE_CHOICE|NORMAL_OE,Main_P6b_Khong_Thich_Total_OE|1-3,MA,"{'99999': 'Không có', '900001|net|MÀU SỢI MÌ (NET)': {'101': 'Màu vàng hơi nhạt', '102': 'Màu vàng hơi đậm', '103': 'Màu sợi mì sáng hơi nhiều', '104': 'Màu sợi mì không đều'}, '900002|net|ĐỘ DAI (NET)': {'201': 'Dai hơi nhiều', '202': 'Dai hơi ít'}, '900003|net|ĐỘ MỀM (NET)': {'301': 'Mềm hơi nhiều/ bở', '302': 'Mềm hơi ít'}, '900004|net|ĐỘ MƯỚT (NET)': {'401': 'Còn khô, chưa được mượt/ độ mướt hơi ít', '402': 'Sợi mì có độ mướt hơi nhiều/ độ mướt khó ăn'}, '900005|net|KHÁC (NET)': {'901': 'Bị dẹp nhìn không đẹp', '902': 'Kích thước hơi nhỏ', '903': 'Bị bột, bở', '904': 'Sợi mì chín không đều/ bị sượng', '905': 'Sợi mì hơi dài', '906': 'Sợi mì không thấm vị', '907': 'Sợi mì có kích thước không đều'}}"
Main_P6b_Khong_Thich_Y1_OE|1-3,PRODUCT|FORCE_CHOICE|NORMAL_OE,Main_P6b_Khong_Thich_Y1_OE|1-3,MA,"{'99999': 'Không có', '900001|net|MÀU SỢI MÌ (NET)': {'101': 'Màu vàng hơi nhạt', '102': 'Màu vàng hơi đậm', '103': 'Màu sợi mì sáng hơi nhiều', '104': 'Màu sợi mì không đều'}, '900002|net|ĐỘ DAI (NET)': {'201': 'Dai hơi nhiều', '202': 'Dai hơi ít'}, '900003|net|ĐỘ MỀM (NET)': {'301': 'Mềm hơi nhiều/ bở', '302': 'Mềm hơi ít'}, '900004|net|ĐỘ MƯỚT (NET)': {'401': 'Còn khô, chưa được mượt/ độ mướt hơi ít', '402': 'Sợi mì có độ mướt hơi nhiều/ độ mướt khó ăn'}, '900005|net|KHÁC (NET)': {'901': 'Bị dẹp nhìn không đẹp', '902': 'Kích thước hơi nhỏ', '903': 'Bị bột, bở', '904': 'Sợi mì chín không đều/ bị sượng', '905': 'Sợi mì hơi dài', '906': 'Sợi mì không thấm vị', '907': 'Sợi mì có kích thước không đều'}}"
Main_P6b_Khong_Thich_Y2_OE|1-3,PRODUCT|FORCE_CHOICE|NORMAL_OE,Main_P6b_Khong_Thich_Y2_OE|1-3,MA,"{'99999': 'Không có', '900001|net|MÀU SỢI MÌ (NET)': {'101': 'Màu vàng hơi nhạt', '102': 'Màu vàng hơi đậm', '103': 'Màu sợi mì sáng hơi nhiều', '104': 'Màu sợi mì không đều'}, '900002|net|ĐỘ DAI (NET)': {'201': 'Dai hơi nhiều', '202': 'Dai hơi ít'}, '900003|net|ĐỘ MỀM (NET)': {'301': 'Mềm hơi nhiều/ bở', '302': 'Mềm hơi ít'}, '900004|net|ĐỘ MƯỚT (NET)': {'401': 'Còn khô, chưa được mượt/ độ mướt hơi ít', '402': 'Sợi mì có độ mướt hơi nhiều/ độ mướt khó ăn'}, '900005|net|KHÁC (NET)': {'901': 'Bị dẹp nhìn không đẹp', '902': 'Kích thước hơi nhỏ', '903': 'Bị bột, bở', '904': 'Sợi mì chín không đều/ bị sượng', '905': 'Sợi mì hơi dài', '906': 'Sợi mì không thấm vị', '907': 'Sợi mì có kích thước không đều'}}"
Main_P10a_Thich_Nuoc_dung_OE|1-7,PRODUCT|FORCE_CHOICE|NORMAL_OE,Main_P10a_Thich_Nuoc_dung_OE|1-7,MA,"{'900001|net|MÀU NƯỚC DÙNG (NET)': {'101': 'Màu nước dùng trong vừa phải', '102': 'Màu nước dùng vừa phải/ bắt mắt/ hấp dẫn', '103': 'Nước dùng có màu vàng óng ánh'}, '900002|net|MÙI NƯỚC DÙNG (NET)': {'201': 'Thơm mùi bò vừa phải/ tự nhiên', '202': 'Thơm mùi chanh/ mùi chanh thơm đặc trưng', '203': 'Thơm mùi rau hành vừa phải', '204': 'Thơm mùi ớt/ sa tế vừa phải', '205': 'Thơm mùi riêu cua vừa phải', '206': 'Thơm mùi sả/ mùi sả thơm đặc trưng', '207': 'Thơm mùi lẩu thái đặc trưng/ mùi thơm chua cay vừa đủ', '208': 'Thơm mùi khoai tây vừa phải', '209': 'Thơm mùi tôm tự nhiên/ đặc trưng'}, '900003|net|VỊ NƯỚC DÙNG (NET)': {'301': 'Vị thịt vừa phải', '302': 'Vị cay vừa phải/ kích thích vị giác', '303': 'Vị chua vừa phải/ hài hòa/ thanh', '304': 'Vị ngọt vừa phải/ hài hòa/ tự nhiên', '305': 'Vị mặn vừa phải/ hài hòa', '306': 'Vị béo vừa phải', '307': 'Vị riêu cua vừa phải', '308': 'Vị rau hành vừa phải', '309': 'Vị bò vừa phải/ giống lẩu bắp bò', '310': 'Vị lẩu thái đặc trưng', '350': 'Có hậu vị cay vừa phải', '351': 'Có hậu vị ngọt vừa phải', '352': 'Có hậu vị chua vừa phải'}, '900004|net|KHÁC (NET)': {'901': 'Lượng dầu mỡ vừa phải', '905': 'Topling nhiều loại rau củ', '906': 'Topping ngon miệng', '907': 'Lượng topping nhiều'}}"
Main_P10b_Khong_Thich_Nuoc_dung_OE|1-4,PRODUCT|FORCE_CHOICE|NORMAL_OE,Main_P10b_Khong_Thich_Nuoc_dung_OE|1-4,MA,"{'900001|net|MÀU NƯỚC DÙNG (NET)': {'101': 'Màu nước dùng hơi nhạt', '102': 'Màu nước dùng hơi đậm'}, '900002|net|MÙI NƯỚC DÙNG (NET)': {'201': 'Mùi bò hơi ít', '202': 'Mùi bò hơi nhiều', '203': 'Mùi ớt/ sa tế hơi nồng', '204': 'Mùi riêu cua hơi ít/ không rõ ràng', '205': 'Mùi riêu cua hơi nhiều', '206': 'Mùi sả hơi ít', '207': 'Mùi thơm rau hành hơi ít', '208': 'mùi rau hành hơi nồng', '210': 'Không dậy mùi thơm nên không biết mùi gì'}, '900003|net|VỊ NƯỚC DÙNG (NET)': {'301': 'Vị cay hơi nhiều', '302': 'Vị cay hơi ít', '303': 'Vị chua hơi nhiều', '304': 'Vị chua hơi ít', '305': 'Vị mặn hơi ít', '306': 'Vị mặn hơi nhiều', '307': 'Vị ngọt lợ', '308': 'Vị ngọt hơi ít', '309': 'Vị ngọt hơi nhiều', '310': 'Vị ngấy mỡ nhiều', '311': 'Vị riêu cua hơi ít/ không rõ ràng', '312': 'Vị riêu cua không hòa quyện', '313': 'Vị bò không hòa quyện', '314': 'Vị bò hơi ít/ không rõ ràng'}, '900004|net|KHÁC (NET)': {'901': 'Lượng dầu mỡ nhiều', '905': 'Không rõ vị của thịt viên', '906': 'Topping ít hành lá'}}"
Main_P100a_Total_OE|1-7,PRODUCT|FORCE_CHOICE|NORMAL_OE,Main_P100a_Total_OE|1-7,MA,"{'99999': 'Không có', '900001|net|MÀU SỢI MÌ (NET)': {'101': 'Màu vàng đậm hơn', '102': 'Màu vàng nhẹ hơn', '103': 'Màu vàng tự nhiên hơn'}, '900002|net|ĐỘ DAI (NET)': {'201': 'Dai nhiều hơn', '202': 'Dai giòn nhiều hơn', '203': 'Dai ít hơn'}, '900003|net|ĐỘ MỀM (NET)': {'301': 'Mềm nhiều hơn', '302': 'Mềm ít hơn'}, '900004|net|ĐỘ MƯỚT (NET)': {'401': 'Trơn mướt/ bóng mướt nhiều hơn', '402': 'Trơn mướt ít hơn'}, '900005|net|MÀU NƯỚC DÙNG (NET)': {'501': 'Màu điều/ cam đỏ đẹp hơn', '502': 'Nước dùng trong hơn/ nhạt hơn', '503': 'Màu nước dùng đậm đà hơn', '504': 'Nước dùng có màu vàng đậm hơn'}, '900006|net|MÙI NƯỚC DÙNG (NET)': {'601': 'Thơm mùi bò nhiều hơn', '602': 'Thơm mùi sả', '603': 'Thơm mùi chanh', '604': 'Thơm mùi ớt, sa tế hơn', '605': 'Có mùi thơm của riêu cua đặc trưng', '606': 'Thơm mùi rau hành nhiều hơn', '607': 'Mùi chua cay dậy mùi', '608': 'Có mùi thơm của tôm đặc trưng'}, '900007|net|VỊ NƯỚC DÙNG (NET)': {'701': 'Vị chua ít hơn', '702': 'Vị chua nhiều hơn/ đậm đà hơn', '703': 'Vị mặn đậm đà hơn', '704': 'Vị mặn ít hơn', '705': 'Vị cay nhiều hơn/ đậm đà hơn', '706': 'Vị cay ít hơn', '707': 'Vị bò lạ miệng hơn/ đậm đà hơn', '708': 'Vị béo nhiều hơn', '709': 'Vị ngọt nhiều hơn', '710': 'Có vị cay của ớt/ vị cay của ớt đậm hơn', '711': 'Có vị chua cay/ vị chua cay đặc trưng', '712': 'Có vị riêu cua/ vị riêu cua đậm đà', '713': 'Vị cay vừa phải', '714': 'Vị nước dùng ngọt thanh hơn/ ngọt tự nhiên hơn', '720': 'Vị nước dùng đậm đà hơn', '721': 'Hậu vị chua và cay của nước dùng lưu lại lâu hơn'}, '900008|net|ĐỘ HÒA QUYỆN (NET)': {'801': 'Chua mặn ngọt hòa quyện hơn', '802': 'Chua cay hòa quyện hơn', '803': 'Chua cay mặn ngọt hòa quyện hơn'}, '900009|net|KHÁC (NET)': {'901': 'Kích thước sợi mì to hơn', '902': 'Kích thước sợi mì nhỏ hơn', '903': 'Lượng topping nhiều hơn', '904': 'Lượng dầu mỡ ít hơn', '905': 'Sợi mì rõ vị khoai tây hơn', '906': 'Sợi mì thấm nước dùng'}}"
Main_P100a_Y1_OE|1-7,PRODUCT|FORCE_CHOICE|NORMAL_OE,Main_P100a_Y1_OE|1-7,MA,"{'99999': 'Không có', '900001|net|MÀU SỢI MÌ (NET)': {'101': 'Màu vàng đậm hơn', '102': 'Màu vàng nhẹ hơn', '103': 'Màu vàng tự nhiên hơn'}, '900002|net|ĐỘ DAI (NET)': {'201': 'Dai nhiều hơn', '202': 'Dai giòn nhiều hơn', '203': 'Dai ít hơn'}, '900003|net|ĐỘ MỀM (NET)': {'301': 'Mềm nhiều hơn', '302': 'Mềm ít hơn'}, '900004|net|ĐỘ MƯỚT (NET)': {'401': 'Trơn mướt/ bóng mướt nhiều hơn', '402': 'Trơn mướt ít hơn'}, '900005|net|MÀU NƯỚC DÙNG (NET)': {'501': 'Màu điều/ cam đỏ đẹp hơn', '502': 'Nước dùng trong hơn/ nhạt hơn', '503': 'Màu nước dùng đậm đà hơn', '504': 'Nước dùng có màu vàng đậm hơn'}, '900006|net|MÙI NƯỚC DÙNG (NET)': {'601': 'Thơm mùi bò nhiều hơn', '602': 'Thơm mùi sả', '603': 'Thơm mùi chanh', '604': 'Thơm mùi ớt, sa tế hơn', '605': 'Có mùi thơm của riêu cua đặc trưng', '606': 'Thơm mùi rau hành nhiều hơn', '607': 'Mùi chua cay dậy mùi', '608': 'Có mùi thơm của tôm đặc trưng'}, '900007|net|VỊ NƯỚC DÙNG (NET)': {'701': 'Vị chua ít hơn', '702': 'Vị chua nhiều hơn/ đậm đà hơn', '703': 'Vị mặn đậm đà hơn', '704': 'Vị mặn ít hơn', '705': 'Vị cay nhiều hơn/ đậm đà hơn', '706': 'Vị cay ít hơn', '707': 'Vị bò lạ miệng hơn/ đậm đà hơn', '708': 'Vị béo nhiều hơn', '709': 'Vị ngọt nhiều hơn', '710': 'Có vị cay của ớt/ vị cay của ớt đậm hơn', '711': 'Có vị chua cay/ vị chua cay đặc trưng', '712': 'Có vị riêu cua/ vị riêu cua đậm đà', '713': 'Vị cay vừa phải', '714': 'Vị nước dùng ngọt thanh hơn/ ngọt tự nhiên hơn', '720': 'Vị nước dùng đậm đà hơn', '721': 'Hậu vị chua và cay của nước dùng lưu lại lâu hơn'}, '900008|net|ĐỘ HÒA QUYỆN (NET)': {'801': 'Chua mặn ngọt hòa quyện hơn', '802': 'Chua cay hòa quyện hơn', '803': 'Chua cay mặn ngọt hòa quyện hơn'}, '900009|net|KHÁC (NET)': {'901': 'Kích thước sợi mì to hơn', '902': 'Kích thước sợi mì nhỏ hơn', '903': 'Lượng topping nhiều hơn', '904': 'Lượng dầu mỡ ít hơn', '905': 'Sợi mì rõ vị khoai tây hơn', '906': 'Sợi mì thấm nước dùng'}}"
